Odoo Cat,Product Category SuperCoop,Unterkategorie SuperCoop,REF,Désignation produit,Code EAN,Prix/U. avant promotions,Prix/U.,Colisage,Qté,P. Conditionement,N. Colis,Poids brut,Unité de poids,HT,TVA
"All / Convenience & Konserven / Chips, tortilla & crackers",Convenience & Konserven,"Chips, tortilla & crackers",293010,Sauce mexicaine Medium Camarillo bocal 310gr,3580282930105,0.98,0.98,12.00,1,11.76,1,0.31,KG,11.76,5.5
All / Convenience & Konserven / Oliven & Antipasti,Convenience & Konserven,Oliven & Antipasti,293007,Piments jalapenos;pot 280g Camarillo,3580282930075,1.01,1.01,12.00,1,12.12,1,0.28,KG,12.12,5.5
All / Convenience & Konserven / Chips & salzige snacks,Convenience & Konserven,Chips & salzige snacks,293006,Tortillas chips chili; paquet 200g Camarillo,3580282930068,0.64,0.64,22.00,1,14.08,1,0.20,KG,14.08,5.5
All / Convenience & Konserven / Chips & salzige snacks,Convenience & Konserven,Chips & salzige snacks,293004,Tortillas chips nature; paquet 200g Camarillo,3580282930044,0.64,0.64,22.00,1,14.08,1,0.20,KG,14.08,5.5
All / Convenience & Konserven / Asien,Convenience & Konserven,Asien,281660,Champignons noirs séchés entiers;pqt 80g Chao'an,3580282816607,1.10,1.10,50.00,1,55.00,1,0.08,KG,55.00,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,281635,Nouilles sèches instantanée;paquet 400g Chao'an,3580282816355,1.09,1.09,30.00,1,32.70,1,0.40,KG,32.70,5.5
All / Convenience & Konserven / Asien,Convenience & Konserven,Asien,281511,Lait de coco BIO; boîte 400ml,4792038107016,1.09,1.09,12.00,1,13.08,1,0.40,LIT,13.08,5.5
All / Convenience & Konserven / Asien,Convenience & Konserven,Asien,281046,Sauce satay; bocal 200g Exotic Food,8853662001104,2.01,2.01,12.00,1,24.12,1,0.20,KG,24.12,5.5
All / Convenience & Konserven / Asien,Convenience & Konserven,Asien,281018,Sauce aigre douce bouteille 225g Exotic Food,8853662003078,1.79,1.79,12.00,1,21.48,1,0.20,LIT,21.48,5.5
All / Convenience & Konserven / Asien,Convenience & Konserven,Asien,2810061,Sauce nuoc mâm; bouteille 250ml Exotic Food,8853662040172,1.41,1.41,6.00,1,8.46,1,0.25,LIT,8.46,5.5
"All / Öle, Fette, Essig & Würzmittel / Essig","Öle, Fette, Essig & Würzmittel",Essig,280594,Vinaigre de riz pour sushi; btl 300ml Kikkoman,4901515349652,2.80,2.80,12.00,1,33.60,1,0.30,LIT,33.60,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,280582,Nouilles instantanées au curry sachet 76g,6921555509364,0.24,0.24,30.00,1,7.20,1,0.08,KG,7.20,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,280581,Nouilles instantanées aux légumes sachet 75g,6921555509357,0.24,0.24,30.00,1,7.20,1,0.08,KG,7.20,5.5
"All / Convenience & Konserven / Chips, tortilla & crackers",Convenience & Konserven,"Chips, tortilla & crackers",261061,Chips de lentilles corail BIO paquet 60g,3760020821807,0.95,0.95,12.00,1,11.40,1,0.06,KG,11.40,5.5
"All / Convenience & Konserven / Chips, tortilla & crackers",Convenience & Konserven,"Chips, tortilla & crackers",261060,Chips de pois chiches BIO paquet 60g,3760020821814,0.95,0.95,12.00,1,11.40,1,0.06,KG,11.40,5.5
"All / Convenience & Konserven / Chips, tortilla & crackers",Convenience & Konserven,"Chips, tortilla & crackers",261058,Chips au sel et vinaigre de cidre paquet 150g,5016845005877,1.05,1.05,12.00,1,12.60,1,0.15,KG,12.60,5.5
"All / Convenience & Konserven / Chips, tortilla & crackers",Convenience & Konserven,"Chips, tortilla & crackers",261049,Chips craquantes au fromage de nos montagnes,3396111001218,0.69,0.69,23.00,1,15.87,1,0.12,KG,15.87,5.5
"All / Convenience & Konserven / Chips, tortilla & crackers",Convenience & Konserven,"Chips, tortilla & crackers",261048,Chips craquantes au chèvre et piment d'espelette,3396111001317,0.69,0.69,23.00,1,15.87,1,0.12,KG,15.87,5.5
All / Brot & Backwaren / Zucker & Süßungsmittel,Brot & Backwaren,Zucker & Süßungsmittel,2520051,Sucre glace paquet 1kg,3075310210019,1.45,1.45,12.00,1,17.40,1,1.00,KG,17.40,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,228009,Maïs croquant s/vide France Boîte 1/2 285g,3580282280095,0.57,0.57,12.00,1,6.84,1,0.29,KG,6.84,5.5
"All / nicht alkoholische 
 Getränke / Säfte & Sirup","nicht alkoholische 
 Getränke",Säfte & Sirup,227003,Gaspacho de tomates bouteille 1l,8437003800689,1.41,1.41,6.00,1,8.46,1,1.00,LIT,8.46,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,226601,Velouté légumes du soleil & quinoa BIO btl 74cl,3580282266013,1.79,1.79,6.00,1,10.74,1,0.74,LIT,10.74,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,226534,Velouté de poireaux et pommes de terre btle 74cl,3580282265344,1.76,1.76,6.00,1,10.56,1,0.74,LIT,10.56,5.5
All / Convenience & Konserven / Tomatensoße. & Co.,Convenience & Konserven,Tomatensoße. & Co.,226497,Velouté potiron et patate douce BIO bouteille 73cl,3580282264972,1.83,1.83,6.00,1,10.98,1,0.73,LIT,10.98,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,226493,Velouté de courgettes et brocolis bouteille 73cl,3580282264934,1.79,1.79,6.00,1,10.74,1,0.73,LIT,10.74,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,226492,Velouté Carottes Curry & Gingembre 73cl,3580282264927,1.79,1.79,6.00,1,10.74,1,0.73,KG,10.74,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,226489,Velouté de cresson bouteille 73cl,3580282264897,1.72,1.72,6.00,1,10.32,1,0.73,LIT,10.32,5.5
